,Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
97,ec:4.2.3.4,,ec:2.7.1.56,,ec:3.6.2.1,ec:1.2.1.8,,ec:3.1.4.3,ec:2.6.99.2,,,,
98,ec:2.3.1.89,,ec:5.1.3.4,,ec:1.1.1.284,ec:1.14.14.1,,ec:1.1.1.239,ec:2.7.6.3,,,,
99,ec:2.6.1.11,,ec:5.1.3.14,,ec:1.7.7.1,ec:1.1.1.316,,ec:1.1.1.62,ec:4.99.1.3,,,,
100,ec:3.5.1.18,,ec:2.2.1.2,,ec:6.2.1.1,ec:1.1.1.95,,ec:2.7.7.14,ec:2.7.7.75,,,,
101,ec:4.4.1.21,,ec:2.7.1.31,,ec:1.1.1.298,ec:1.13.11.51,,ec:1.13.11.31,ec:6.3.2.17,,,,
102,ec:1.5.1.2,,ec:2.3.1.157,,ec:4.2.1.104,ec:1.2.4.2,,,ec:2.5.1.61,,,,
103,ec:2.4.2.18,,ec:2.7.7.23,,ec:1.6.99.3,ec:1.3.1.2,,,ec:2.10.1.1,,,,
104,ec:5.4.3.3,,ec:5.1.3.22,,ec:3.1.2.12,ec:1.1.1.2,,,ec:4.1.1.11,,,,
105,ec:5.4.99.5,,ec:4.2.1.126,,ec:3.5.5.1,ec:2.1.1.114,,,ec:4.1.3.36,,,,
106,ec:2.1.2.5,,ec:5.1.3.1,,ec:1.8.4.9,ec:2.1.1.64,,,ec:4.2.1.113,,,,
107,ec:1.4.1.16,,ec:2.4.1.17,,ec:4.1.1.25,ec:1.8.1.2,,,ec:5.4.99.60,,,,
108,ec:4.2.1.49,,ec:1.1.1.17,,ec:3.5.1.49,ec:1.11.1.7,,,ec:2.7.8.26,,,,
